date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:26:06	89824/89824	---M--	200	added ('OK')	application/font-woff	etag:%2215ee0-5e217765f5609%22	http://minia-v-light.react.themesbrand.com/static/media/fa-brands-400.ee26f57bc9e3619b022b.woff	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/fa-brands-400.ee26f57bc9e3619b022b.woff	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:26:09	715890/715890	---M--	200	added ('OK')	image/svg+xml	etag:%22aec72-5e217765f5609%22	http://minia-v-light.react.themesbrand.com/static/media/fa-brands-400.3c45c98f6f6c1b009c08.svg	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/fa-brands-400.3c45c98f6f6c1b009c08.svg	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:26:11	13584/13584	---M--	200	added ('OK')	text/html	etag:%223510-5e217765f7549%22	http://minia-v-light.react.themesbrand.com/static/media/fa-regular-400.c52405129ae48097815d.woff2	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/fa-regular-400.c52405129ae48097815d.html	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:26:12	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22207aa-5e217765f5609%22	http://minia-v-light.react.themesbrand.com/static/media/fa-brands-400.607a77859353c0cc1882.eot?	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/fa-brands-400.607a77859353c0cc1882d41d.eot	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:26:14	132728/132728	---M--	200	added ('OK')	application/font-sfnt	etag:%2220678-5e217765f5609%22	http://minia-v-light.react.themesbrand.com/static/media/fa-brands-400.5818bbd07dfd7095920a.ttf	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/fa-brands-400.5818bbd07dfd7095920a.ttf	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:26:15	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228656-5e217765f5609%22	http://minia-v-light.react.themesbrand.com/static/media/fa-regular-400.0747be4cba2f8600544f.eot	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/fa-regular-400.0747be4cba2f8600544f.eot	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:26:15	16800/16800	---M--	200	added ('OK')	application/font-woff	etag:%2241a0-5e217765f5609%22	http://minia-v-light.react.themesbrand.com/static/media/fa-regular-400.8b892b7904a39e37c53d.woff	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/fa-regular-400.8b892b7904a39e37c53d.woff	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:26:18	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228656-5e217765f5609%22	http://minia-v-light.react.themesbrand.com/static/media/fa-regular-400.0747be4cba2f8600544f.eot?	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/fa-regular-400.0747be4cba2f8600544fd41d.eot	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:26:18	144322/144322	---M--	200	added ('OK')	image/svg+xml	etag:%22233c2-5e217765f5609%22	http://minia-v-light.react.themesbrand.com/static/media/fa-regular-400.ab47faeab8ddc5f809ec.svg	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/fa-regular-400.ab47faeab8ddc5f809ec.svg	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
19:26:22	79444/79444	---M--	200	added ('OK')	text/html	etag:%2213654-5e217765f7549%22	http://minia-v-light.react.themesbrand.com/static/media/fa-solid-900.9451d5fee89b51a20f8a.woff2	C:/Users/HP/javascript%20ninja/Ecom/minia-v-light.react.themesbrand.com/static/media/fa-solid-900.9451d5fee89b51a20f8a.html	(from http://minia-v-light.react.themesbrand.com/static/css/main.ffd6950f.css)
